Canefrost Inventory Final
Canefrost Inventory Upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Name,Category,Size,Type,MRP,Cost,Price,Barcode,Stock unit,Tax type,GST%,Inclusive/Exclusive,Stock Count,,,,,,,,,,,,,,,,
AVOCADO,Cane Blend,240ml,Tropical,70,,70,CFRST01,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
BLACK SALTED,Cane Blend,240ml,Spiced/Herbal/Others,35,,35,CFRST02,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
BLUEBERRY,Cane Blend,240ml,Berries,70,,70,CFRST03,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
COFFEE,Cane Blend,240ml,Spiced/Herbal/Others,60,,60,CFRST04,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
DRAGON FRUIT,Cane Blend,240ml,Tropical,50,,50,CFRST05,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
FIG,Cane Blend,240ml,Tropical,50,,50,CFRST06,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GINGER,Cane Blend,240ml,Spiced/Herbal/Others,35,,35,CFRST07,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GOOSEBERRY,Cane Blend,240ml,Spiced/Herbal/Others,40,,40,CFRST08,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GRAPES,Cane Blend,240ml,Spiced/Herbal/Others,50,,50,CFRST09,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GUAVA,Cane Blend,240ml,Tropical,50,,50,CFRST10,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ICE APPLE,Cane Blend,240ml,Tropical,60,,60,CFRST11,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JACKFRUIT,Cane Blend,240ml,Spiced/Herbal/Others,50,,50,CFRST12,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JALJEERA,Cane Blend,240ml,Spiced/Herbal/Others,35,,35,CFRST13,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JAMUN,Cane Blend,240ml,Berries,60,,60,CFRST14,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JUSTCANE (PLAIN),Cane Blend,240ml,Spiced/Herbal/Others,30,,30,CFRST15,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
LEMON,Cane Blend,240ml,Citrus,30,,30,CFRST16,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
LEMON & GINGER,Cane Blend,240ml,Citrus,35,,35,CFRST17,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MINT,Cane Blend,240ml,Spiced/Herbal/Others,35,,35,CFRST18,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MINT & LEMON,Cane Blend,240ml,Citrus,40,,40,CFRST19,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
"MINT, LEMON & GINGER",Cane Blend,240ml,Citrus,40,,40,CFRST20,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MOSAMBI,Cane Blend,240ml,Citrus,50,,50,CFRST21,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MUSKMELON,Cane Blend,240ml,Spiced/Herbal/Others,50,,50,CFRST22,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ORANGE,Cane Blend,500ml,Citrus,50,,50,CFRST23,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PINEAPPLE,Cane Blend,500ml,Tropical,50,,50,CFRST24,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
POMEGRANATE,Cane Blend,500ml,Tropical,60,,60,CFRST25,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
STRAWBERRY,Cane Blend,500ml,Berries,70,,70,CFRST26,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
WATERMELON,Cane Blend,500ml,Spiced/Herbal/Others,40,,40,CFRST27,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
AVOCADO ,Cane Blend,500ml,Tropical,140,,140,CFRST28,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
BLACK SALTED ,Cane Blend,500ml,Spiced/Herbal/Others,70,,70,CFRST29,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
BLUEBERRY ,Cane Blend,500ml,Berries,140,,140,CFRST30,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
COFFEE ,Cane Blend,500ml,Spiced/Herbal/Others,120,,120,CFRST31,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
DRAGON FRUIT ,Cane Blend,500ml,Tropical,100,,100,CFRST32,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
FIG ,Cane Blend,500ml,Tropical,100,,100,CFRST33,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GINGER ,Cane Blend,500ml,Spiced/Herbal/Others,70,,70,CFRST34,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GOOSEBERRY ,Cane Blend,500ml,Spiced/Herbal/Others,80,,80,CFRST35,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GRAPES ,Cane Blend,500ml,Spiced/Herbal/Others,100,,100,CFRST36,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
GUAVA ,Cane Blend,500ml,Tropical,100,,100,CFRST37,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ICE APPLE ,Cane Blend,500ml,Tropical,120,,120,CFRST38,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JACKFRUIT ,Cane Blend,500ml,Spiced/Herbal/Others,100,,100,CFRST39,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JALJEERA ,Cane Blend,500ml,Spiced/Herbal/Others,70,,70,CFRST40,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JAMUN ,Cane Blend,500ml,Berries,120,,120,CFRST41,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
JUSTCANE (PLAIN) ,Cane Blend,500ml,Spiced/Herbal/Others,60,,60,CFRST42,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
LEMON ,Cane Blend,500ml,Citrus,60,,60,CFRST43,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
LEMON & GINGER ,Cane Blend,500ml,Citrus,70,,70,CFRST44,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MINT ,Cane Blend,500ml,Spiced/Herbal/Others,70,,70,CFRST45,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MINT & LEMON ,Cane Blend,500ml,Citrus,80,,80,CFRST46,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
"MINT, LEMON & GINGER ",Cane Blend,500ml,Citrus,80,,80,CFRST47,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MOSAMBI ,Cane Blend,500ml,Citrus,100,,100,CFRST48,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
MUSKMELON ,Cane Blend,500ml,Spiced/Herbal/Others,100,,100,CFRST49,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
ORANGE ,Cane Blend,500ml,Citrus,100,,100,CFRST50,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
PINEAPPLE ,Cane Blend,500ml,Tropical,100,,100,CFRST51,30,y,12%,Inclusive,30,,,,,,,,,,,,,,,,
